departures_performed,seats,passengers,distance,air_time,unique_carrier,airline_id,origin_airport_id,origin,dest_airport_id,dest,aircraft_group,aircraft_type,year,month
24,0,0,255,2314,FX,20107,14893,SMF,10930,CEC,4,416,2016,10
4,0,0,71,68,5V,20408,11336,DLG,10245,AKN,6,655,2018,12
14,126,54,130,586,8E,20331,10139,ABL,13970,OTZ,4,415,2016,3
1,10,2,1873,0,13Q,21437,16271,YYZ,15376,TUS,6,609,2019,4
1,173,0,513,81,GL,20402,13667,NGU,10397,ATL,6,614,2018,7
2,378,237,68,38,SY,20422,15024,STT,14843,SJU,6,614,2017,1
59,2950,2043,335,3450,OH,20397,10874,CAK,14100,PHL,6,629,2018,9
1,0,0,415,50,5X,19917,14730,SDF,14492,RDU,6,626,2016,12
214,40147,35337,2125,60194,AA,19805,11057,CLT,12892,LAX,6,699,2019,10
3,540,347,321,164,DL,19790,14730,SDF,10397,ATL,6,888,2018,5
1,179,170,1872,0,Y4,21351,13930,ORD,12239,HUX,6,694,2019,8
2,18,1,95,53,8E,20331,11535,ELI,13873,OME,4,406,2018,12
25,2417,1346,2022,0,AC,19531,11618,EWR,16257,YYC,6,678,2015,11
1,245,216,628,90,X9,20377,14679,SAN,10140,ABQ,6,626,2019,12
1,175,140,991,135,WN,19393,11292,DEN,14057,PDX,6,614,2015,2
51,1734,1147,200,2747,3M,20401,15304,TPA,15249,TLH,4,456,2015,4
19,114,25,59,692,3F,21111,10961,CGA,15741,WFB,0,40,2015,2
56,1944,1077,399,4873,7H,20327,10551,BET,10299,ANC,4,483,2017,11
11,1298,936,589,984,UA,19977,11423,DSM,11292,DEN,6,612,2016,3
62,31155,29278,6849,0,EK,20392,12478,JFK,11455,DXB,8,882,2019,7
29,5422,5153,1399,5366,DL,19790,13487,MSP,14747,SEA,6,622,2016,5
1,0,0,1102,133,5X,19917,13256,MFE,14730,SDF,6,691,2017,7
13,4550,3993,4314,0,WW,21598,12892,LAX,12651,KEF,6,696,2017,11
3,525,507,488,225,WN,19393,14193,PNS,12191,HOU,6,614,2019,4
1,0,0,1611,191,M6,20151,13303,MIA,10575,BGI,6,625,2016,9
31,5212,5009,1972,7749,AA,19805,13303,MIA,14107,PHX,6,614,2019,7
87,13872,9896,236,3996,AA,19805,12892,LAX,12889,LAS,6,614,2016,11
5,0,0,893,631,FX,20107,13244,MEM,11637,FAR,6,622,2018,3
1,50,48,416,71,EV,20366,13871,OMA,13930,ORD,6,675,2019,10
1,269,171,6274,748,UA,19977,13930,ORD,13744,NRT,6,627,2015,11
27,4806,4548,605,2205,AS,19930,14747,SEA,14893,SMF,6,634,2018,6
27,4725,4292,1642,5516,WN,19393,12191,HOU,13796,OAK,6,614,2015,7
22,0,0,2846,0,KE,19550,10299,ANC,13930,ORD,8,819,2016,3
1,76,32,186,34,MQ,20398,14122,PIT,10792,BUF,6,673,2018,11
31,2356,1931,1626,7055,OO,20304,11259,DAL,14057,PDX,6,673,2017,10
41,5863,4220,495,3487,WN,19393,10821,BWI,14730,SDF,6,612,2018,12
115,5750,4797,588,9852,OO,20304,12278,ICT,13930,ORD,6,629,2016,4
1,69,69,453,67,YX,20452,14100,PHL,11433,DTW,6,677,2018,6
2,360,298,980,239,DL,19790,13487,MSP,14492,RDU,6,888,2018,3
17,4442,4122,2409,4714,HA,19690,12173,HNL,13796,OAK,6,626,2017,4
1,126,114,882,130,SY,20422,11973,GPT,11986,GRR,6,612,2016,12
32,5376,4801,1214,0,WS,20229,16271,YYZ,11697,FLL,6,614,2018,3
82,4100,3903,387,4732,OO,20304,14869,SLC,10620,BIL,6,629,2015,7
6,456,438,872,692,OO,20304,11292,DEN,13244,MEM,6,673,2019,6
50,7150,6586,942,6255,WN,19393,10693,BNA,10721,BOS,6,612,2017,7
0,0,0,739,0,DL,19790,16271,YYZ,10397,ATL,8,819,2015,8
24,4200,3902,1154,3904,WN,19393,11066,CMH,11292,DEN,6,614,2019,6
